subject,topic_id,topic_label,top_words,total_docs,first_year,last_year,early_proportion,late_proportion,slope,r_squared,p_value,trend
physics,0,Plasma Beam Interactions,"plasma, plasmas, wakefield, beam, particle",674,2000,2025,0.031735,0.020037,-0.0003429,0.0345,0.363389,STABLE
physics,1,Uncertainty Propagation,"uncertainty, bayesian, posterior, data, inference",206,2000,2025,0.006637,0.011495,0.00032835,0.3032,0.003558,GROWING
physics,2,Quantum Corrections,"relativistic, corrections, nuclear, muonic, 2p",381,2000,2025,0.065979,0.011366,-0.00242639,0.641,1e-06,DECLINING
physics,3,DNA Conformational Dynamics,"dna, protein, chromatin, dynamics, molecular",384,2000,2025,0.031673,0.011703,-0.00085077,0.2962,0.004049,DECLINING
physics,4,Optical Trapping Cooling,"optical, trap, cooling, trapping, quantum",586,2000,2025,0.038756,0.020508,-0.0006932,0.2758,0.005875,DECLINING
physics,5,Nonlinear Harmonic Generation,"nonlinear, generation, harmonic, photonic, shg",398,2005,2025,0.0045,0.018446,0.00090797,0.8389,0.0,GROWING
physics,6,Fermi Gas Stability,"yrast, quartet, states, component, quantum",368,2000,2025,0.02518,0.011665,-0.00084993,0.4968,5.8e-05,DECLINING
physics,7,Molecular Absorption Precision,"atomic, absorption, h2, calculations, molecular",205,2000,2025,0.016501,0.007779,-0.0002629,0.0867,0.144206,STABLE
physics,8,Lanczos Eigenvalue Methods,"quantum, mathcal, dmrg, variational, vqe",295,2000,2025,0.016064,0.012384,1.98e-05,0.0006,0.90546,STABLE
physics,9,Algebraic Products and Angular Momentum Separation,"spin, rpsh, fns, quantum, 4hh",270,2001,2025,0.009282,0.010459,0.00012369,0.0652,0.207898,STABLE
physics,10,Rotating Flow Dynamics,"flow, flows, reynolds, fluid, vortex",632,2000,2025,0.016635,0.024072,0.00045937,0.246,0.009972,GROWING
physics,11,Optical Logic Gates,"optical, photonic, oam, quantum, light",415,2001,2025,0.005458,0.021511,0.0009618,0.8072,0.0,GROWING
physics,12,Micromaser Dynamics,"quantum, spin, states, dynamics, systems",403,2000,2025,0.013513,0.01794,0.00026724,0.1105,0.097044,STABLE
physics,13,Pixel Detector Calibration,"detector, detectors, pixel, performance, lhc",1121,2000,2025,0.027735,0.036193,0.00014438,0.0057,0.713394,STABLE
physics,14,Pulse-Level Beam Feedback,"beam, laser, rf, electron, pulse",366,2000,2025,0.037949,0.011245,-0.00100324,0.0992,0.117049,STABLE
physics,15,Anomalous Scaling Turbulence,"turbulence, solar, wind, ell, mathrm",315,2000,2025,0.034746,0.009581,-0.00093585,0.1996,0.022122,DECLINING
physics,16,High-Order Turbulence Moments,"turbulence, turbulent, flow, flows, energy",780,2000,2025,0.02869,0.028429,-0.00014528,0.0155,0.544307,STABLE
