doc_idx,topic_id,topic_label,confidence,original_topic_id,subject,best_model,coherence,irbo
0,35,Pixel Detector Calibration,0.5746775269508362,50,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
2,19,Astrophysical Dynamics Education,0.6039526462554932,24,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
5,0,Environmental Aviation Hazards,0.6437720060348511,2,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
6,38,Fractal Spacetime Models,0.5881969928741455,56,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
9,7,Optical Trapping Cooling,0.6501067876815796,12,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
10,44,Graphene Defect Dynamics,0.503930926322937,74,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
11,26,Algebraic Products and Angular Momentum Separation,0.6115167737007141,31,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
14,53,Vacuum Radiation Thresholds,0.7171384692192078,131,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
16,27,Deforming Reference Frame Dynamics,0.5875116586685181,32,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
19,32,Nonlinear Mode Locking,0.5564901828765869,38,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
20,46,Phospholipid Bilayer Stability,0.5928027033805847,83,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
21,14,Cosmic Microwave Background Analysis,0.529986560344696,19,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
22,34,Beam Polarization Advances,0.618340015411377,42,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
24,34,Beam Polarization Advances,0.6324207782745361,42,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
25,46,Phospholipid Bilayer Stability,0.6812666654586792,83,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
27,48,Distributed Control Architectures,0.5706083178520203,101,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
28,3,Newtonian Geometric Gravity,0.715533435344696,7,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
30,0,Environmental Aviation Hazards,0.5500499606132507,2,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
31,0,Environmental Aviation Hazards,0.5660238265991211,2,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
34,0,Environmental Aviation Hazards,0.5686684250831604,2,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
35,19,Astrophysical Dynamics Education,0.5329951047897339,24,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
38,29,Urban Atmospheric Pollution Modeling,0.5115190744400024,34,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
40,64,Chaotic Flow Dynamics,0.5458113551139832,168,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
42,32,Nonlinear Mode Locking,0.5287683606147766,38,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
45,38,Fractal Spacetime Models,0.6419250965118408,56,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
47,26,Algebraic Products and Angular Momentum Separation,0.6182007193565369,31,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
49,13,Fermi Gas Stability,0.5873717069625854,18,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
51,10,Quantum Tunneling Dynamics,0.5876825451850891,15,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
53,26,Algebraic Products and Angular Momentum Separation,0.6329841613769531,31,physics,all_distilroberta_v1,0.7081312760966487,0.9170704565054678
