subject,topic_id,window,win_start,win_end,top_words,n_words
cs,0,2000–2005,2000,2005,"algorithm, graph, vertex, edge, planar, polygon, tree, cycle, bhlevel, flipturn, pushpush, bene, convex, crease, digraph, exactcolor_exactcolor, hamilton, hbox_hbox, layout, minimum, polynomial, polytope, rectilinear_drawing, set, weight",25
cs,0,2005–2010,2005,2010,"algorithm, digraph, edge, graph, planar, polynomial, tree, vertex, approximation, maximum, subgraph, cycle, forest, isomorphism, path, point, set",17
cs,0,2010–2015,2010,2015,"algorithm, approximation, edge, graph, planar, polynomial, tree, vertex, set, point, cycle, digraph, maximum, subgraph",14
cs,0,2015–2020,2015,2020,"algorithm, edge, graph, planar, set, vertex, approximation, polynomial, tree, subgraph, log_log, maximum, drawing, point",14
cs,0,2020–2025,2020,2025,"algorithm, edge, graph, planar, polynomial, set, vertex, subgraph, tree, approximation, log_log, maximum, spanner",13
cs,1,2000–2005,2000,2005,"logic, program, programming, semantic, termination, rule, theory, proof, language, disjunctive, isabelle, negation, prolog, answer, calculus, nonmonotonic, reasoning, type",18
cs,1,2005–2010,2005,2010,"logic, program, semantic, calculus, language, proof, theory, programming, termination, confluence, type, alogtime, answer, ebs, gipsy, intensional, lambda_calculus, modal, negation, prolog, propagator, unification",22
cs,1,2010–2015,2010,2015,"calculus, language, logic, program, proof, semantic, theory, type, termination, monad, confluence, constraint, ebs, fuzzy, lambda_calculus, modal, order, programming, prolog",19
cs,1,2015–2020,2015,2020,"language, logic, program, proof, semantic, theory, type, calculus, monad, order, programming, algebra, fragment, theorem",14
cs,1,2020–2025,2020,2025,"language, logic, program, proof, semantic, theory, type, calculus, programming, category, monad, algebra, modal, reasoning",14
cs,2,2000–2005,2000,2005,"classical, quantum, qubit, complexity, protocol, computer, entanglement, computation, gate, algorithm, bit, communication, oblivious, proof, quantum_circuit, bound, coin_flipping, group, polynomial, quantum_mechanic, query",21
cs,2,2005–2010,2005,2010,"classical, protocol, quantum, algorithm, entanglement, computation, qubit, circuit, communication, gate, nonlocality, party, qis, alice, attack, bqp, complexity, confluence, fredkin_gate, key, mbqc, measurement, proof, qkd, qml, quantum_circuit, query, reversible, secret_sharing",29
cs,2,2010–2015,2010,2015,"algorithm, classical, protocol, quantum, communication, entanglement, computation, channel, circuit, qubit, security, gate, bell_inequality, bit, cryptography, key, qkd, quantum_circuit, query, secure",20
cs,2,2015–2020,2015,2020,"algorithm, classical, entanglement, protocol, quantum, qubit, circuit, communication, quantum_circuit, channel, complexity, 0tc, computation, computer, computing, gate, reversible, security",18
cs,2,2020–2025,2020,2025,"algorithm, circuit, classical, computing, entanglement, quantum, quantum_circuit, qubit, computer, gate, protocol, hamiltonian",12
cs,3,2000–2005,2000,2005,"reinforcement_learning, policy, action, environment, episode, grep, kalman_filter, observable, optimal, plannable, prl, rkf, algorithm, conservatism, crawler, domain, estimation, function, gradient, information, knowledge, lookahead, lrta, plannability, planning, pomdp, regression, reinforcement, selection, sfsw, web, weblog, world",33
cs,3,2005–2010,2005,2010,"reinforcement_learning, algorithm, policy, approximation, crawler, instantiation, iteration, observable, optimal, sensor, sfsw, universe, weblog, agent, ascendant, control, convergent, decision, entropic, environement, face, function, hmms, information, lqg, markov_decision, meu, mountain_car, observable_markov, optimism, pompd, probability, reinforcement, routing, rubinstein, sarsa, selection, utility, web, world",40
cs,3,2010–2015,2010,2015,"policy, algorithm, reinforcement_learning, agent, optimal, planning, iteration, markov_decision, mdps, action, control, psrs, utility, approximate, bayesian, belief, dantzig, decision, function, instantiation, meu, pitch, probability, regret, reward, sensor, simplex, space",28
cs,3,2015–2020,2015,2020,"agent, algorithm, policy, reinforcement_learning, reward, learning, function, action, deep, gradient, markov_decision, environment, exploration, planning, bayesian, psrs, reinforcement",17
cs,3,2020–2025,2020,2025,"action, agent, algorithm, environment, policy, reinforcement_learning, reward, function, learning, offline, reinforcement, control, gradient",13
cs,4,2000–2005,2000,2005,"privacy, frequent_itemset, mining, perturbation, random, setting, agent, brave, conjunction, learning, marginal, mechanism, personalization, prior, recommender, regard, serendipitous, stone, theoretic, tie, unexpected, variety, weak",23
cs,4,2005–2010,2005,2010,"privacy, mining, perturbation, random, agent, anonymity, anonymization, anonymous, collective, dataset, datum, deletion_insertion, detection, differential_privacy, disclosure, fdr, frequent_itemset, individual, inferencebased, internal, kanonymity, learning, priori, private, publication, record, regard, sensor, setting, snet, stone, tuple, update, useful, utility",35
cs,4,2010–2015,2010,2015,"anonymity, datum, differential_privacy, privacy, private, disclosure, individual, algorithm, collective, inferencebased, kanonymity, mechanism, social, blindspot, definition, dfw, guarantee, information, mining, mllib, pns, pram, program, sdc, tuple",25
cs,4,2015–2020,2015,2020,"algorithm, datum, differential_privacy, privacy, private, mechanism, utility, anonymity, dataset, learning, scheme, sensitive, chiron, client, communication, dfw, federated, local, mllib, mutual_information, pram, social, svt, training",24
cs,4,2020–2025,2020,2025,"client, datum, differential_privacy, learning, privacy, private, training, communication, federated, local, algorithm, server, attack, dataset, device",15
cs,5,2000–2005,2000,2005,"grid, parallel, resource, service, cache_miss, computing, mpi, nimrod, datum, execution, management, software, tsia, claren, cluster, control, corba, disk, environment, file, instrumentation, mpich, multicomputer, noncontiguous, processor, scheduling, server, simd, unicore",29
cs,5,2005–2010,2005,2010,"computing, grid, parallel, processor, resource, datum, code, computer, middleware, service, virtualization, cdf, chip, claren, cluster, cycle, des, diana, disk, fragmentation, gpu, hardware, les, mathematica, memory, multicore, multinoc, program, reconfigurable, scheduling, software, srtw, storage, unicore",34
cs,5,2010–2015,2010,2015,"computing, datum, gpu, parallel, core, memory, processor, cpu, execution, grid, architecture, code, computer, energy, lustre, multicore, parallelization, processing, server, supercomputer, virtualization, workload",22
cs,5,2015–2020,2015,2020,"datum, memory, computing, core, gpu, hardware, parallel, hpc, workload, cache, cloud, energy, mpi, execution, lustre, processor, resource, server",18
cs,5,2020–2025,2020,2025,"cloud, datum, gpu, hardware, hpc, memory, workload, computing, execution, resource, latency, mpi, cache, core, cpu, cxl, design, serverless",18
cs,6,2000–2005,2000,2005,"annotation, anvil, api, bag, caption, captioned, coarse, corpora, detailed, factorization, global, kernel, linguistic, multiresolution, natural_language, natural_language_processing, object, perspective, retrieval, trick",20
cs,6,2005–2010,2005,2010,"bag, coarse, detailed, image, kernel, multiresolution, object, annotated, annotation, cbir, content, corel, discrete, factorization, global, incomplete, keyword, lamppost, loose, perspective, plsa, trick, word",23
cs,6,2010–2015,2010,2015,"annotation, image, semantic, tag, referring_expression, aia, caption, derivation, disa, emm, sentence, visual, word, abstraction, ambiguity, bimodal, collection, compositional, description, discriminative, imageclef, label, light, meaning, object, referent, scene, search",28
cs,6,2015–2020,2015,2020,"caption, image, visual, captioning, question, sentence, dataset, object, semantic, description, vqa, tag, word, annotation, disa, language, reasoning, text",18
cs,6,2020–2025,2020,2025,"dataset, image, text, visual, caption, language, vqa, captioning, multimodal, object, question, vision_language, mllm, reasoning, semantic, vlm",16
cs,7,2000–2005,2000,2005,"ansprolog, answer, control, dependent, disk, exploit, htn, illustrative, improver, incremental, knowledge, nonincremental, oop, optimal, planner, planning, procedural, semantics, tower_hanoi, universal",20
cs,7,2005–2010,2005,2010,"knowledge, ansprolog, control, htn, planner, planning, procedural, achille_heel, acquisition, adaptation, answer, dependent, discovery, domain, engineering, mean, opportunistic, psiplan, psipop, reasoning, semantics, session",22
cs,7,2010–2015,2010,2015,"diversion, intuition, logic, answer, entity, inference, poker, premise, probabilistic, aleph, artificial_intelligence, clause, complication, coroutine, emblem, engine, human, ppls, programming, python_library, sampling, selection, slice, slipcase, slipcover, stocpy, substitute, transdimensional",28
cs,7,2015–2020,2015,2020,"ilp, logic, slice, stocpy, dbns, engine, neural, problog, sampling, default, eda, inductive, mwps, ppls, program, reasoning, transdimensional, ape210k, cnpi, combinator, commonsense, dbn, human, inference, math, mizar, passage, probabilistic, programming, python_library",30
cs,7,2020–2025,2020,2025,"human, reasoning, language, commonsense, knowledge, answer, llm, math, question, inductive, logic, logical, mwps, neural, preference, prompt, reward, symbolic, ape210k, benchmark, capability, cot, program",23
cs,8,2000–2005,2000,2005,"wireless, mining, radio, regulation, space, antenna, bep, channel, configuration, constellation, datum, qstbc, sttd, wcdma, diversity, government, hierarchical, mimo, receiver, wideband",20
