subject,topic_id,window,win_start,win_end,top_words,n_words
cs,0,2000–2005,2000,2005,"document, web, database, keyphrase, text, content, algorithm, apweb, concept, genex, keyword, talkmine, word, category, extraction, information, les, mining, nrc, ontology, phrase, query, recommendation, relevancy, search, search_engine, sources, topic, trail, treillis, une, wsd",32
cs,0,2005–2010,2005,2010,"document, information, database, indexing, profile, subcorpora, web, wikipedia, index, text, algorithm, bookmarking, bulletin_board, citeulike, collaborative, community, concept, content, del_icio, extraction, filtering, gps, grs, keyphrase, les, metadata, ontology, query, resource, scir, search_engine, sources, tagging, treillis, une, wiki, word, xml",38
cs,0,2010–2015,2010,2015,"document, web, information, query, search, text, relatedness, retrieval, albanian, arabic, art1, article, bicluster, blog, classification, clickstream, cqa, database, indexing, keyword, newspaper, page, profile, rdf, reformulation, search_engine, semantic, subcorpora, tag, tomaco, topic, web_page, wikipedia, word, xml",35
cs,0,2015–2020,2015,2020,"document, query, search, web, retrieval, text, topic, search_engine, entity, information, keyword, namespace, ontology, clarification, classification, concept, dataset, identifier, job, rdf, relatedness, semantic, taxonomy, web_page",24
cs,0,2020–2025,2020,2025,"document, query, search, information, text, web, retrieval, search_engine, classification, dataset, topic, llm, taxonomy, clarification, concept, datum, keyword, question, semantic",19
cs,1,2000–2005,2000,2005,"1970, 1990, building, computer, depth, pointer, prospect, story, understanding, word_sense_disambiguation",10
cs,1,2005–2010,2005,2010,,0
cs,1,2010–2015,2010,2015,"event, recursive, conversation, coordination, dialog, emnlp, female_male, language, recurrent_neural_network, reflex, representation, sociolinguist, solidarity, suggestive, tweet, twitter, utterance, bidirectional, chameleon, character, code, fictional, instance, lda, mixed, narrative, neural_network, opinion, parse, sentiment, token",31
cs,1,2015–2020,2015,2020,"sentiment, sentence, story, conversation, dialogue, narrative, word, dataset, text, tweet, twitter, language, recursive, emnlp, emotion, event, neural, protest, recurrent_neural_network, representation, rumor, sarcasm, social_medium, sociolinguist, solidarity",25
cs,1,2020–2025,2020,2025,"conversation, dataset, dialogue, story, text, conversational, emotion, narrative, sentiment, social_medium, language, llm, sentence, tweet, bert, human, sarcasm",17
