subject,topic_id,window_from,window_to,transition,rbo_sim,drift,words_from,words_to
cs,0,2000–2005,2005–2010,2000–2005 → 2005–2010,0.499296,0.500704,"document, web, database, keyphrase, text, content, algorithm, apweb, concept, genex, keyword, talkmine, word, category, extraction, information, les, mining, nrc, ontology, phrase, query, recommendation, relevancy, search, search_engine, sources, topic, trail, treillis, une, wsd","document, information, database, indexing, profile, subcorpora, web, wikipedia, index, text, algorithm, bookmarking, bulletin_board, citeulike, collaborative, community, concept, content, del_icio, extraction, filtering, gps, grs, keyphrase, les, metadata, ontology, query, resource, scir, search_engine, sources, tagging, treillis, une, wiki, word, xml"
cs,0,2005–2010,2010–2015,2005–2010 → 2010–2015,0.457421,0.542579,"document, information, database, indexing, profile, subcorpora, web, wikipedia, index, text, algorithm, bookmarking, bulletin_board, citeulike, collaborative, community, concept, content, del_icio, extraction, filtering, gps, grs, keyphrase, les, metadata, ontology, query, resource, scir, search_engine, sources, tagging, treillis, une, wiki, word, xml","document, web, information, query, search, text, relatedness, retrieval, albanian, arabic, art1, article, bicluster, blog, classification, clickstream, cqa, database, indexing, keyword, newspaper, page, profile, rdf, reformulation, search_engine, semantic, subcorpora, tag, tomaco, topic, web_page, wikipedia, word, xml"
cs,0,2010–2015,2015–2020,2010–2015 → 2015–2020,0.639815,0.360185,"document, web, information, query, search, text, relatedness, retrieval, albanian, arabic, art1, article, bicluster, blog, classification, clickstream, cqa, database, indexing, keyword, newspaper, page, profile, rdf, reformulation, search_engine, semantic, subcorpora, tag, tomaco, topic, web_page, wikipedia, word, xml","document, query, search, web, retrieval, text, topic, search_engine, entity, information, keyword, namespace, ontology, clarification, classification, concept, dataset, identifier, job, rdf, relatedness, semantic, taxonomy, web_page"
cs,0,2015–2020,2020–2025,2015–2020 → 2020–2025,0.835684,0.164316,"document, query, search, web, retrieval, text, topic, search_engine, entity, information, keyword, namespace, ontology, clarification, classification, concept, dataset, identifier, job, rdf, relatedness, semantic, taxonomy, web_page","document, query, search, information, text, web, retrieval, search_engine, classification, dataset, topic, llm, taxonomy, clarification, concept, datum, keyword, question, semantic"
cs,1,2010–2015,2015–2020,2010–2015 → 2015–2020,0.185027,0.814973,"event, recursive, conversation, coordination, dialog, emnlp, female_male, language, recurrent_neural_network, reflex, representation, sociolinguist, solidarity, suggestive, tweet, twitter, utterance, bidirectional, chameleon, character, code, fictional, instance, lda, mixed, narrative, neural_network, opinion, parse, sentiment, token","sentiment, sentence, story, conversation, dialogue, narrative, word, dataset, text, tweet, twitter, language, recursive, emnlp, emotion, event, neural, protest, recurrent_neural_network, representation, rumor, sarcasm, social_medium, sociolinguist, solidarity"
cs,1,2015–2020,2020–2025,2015–2020 → 2020–2025,0.458735,0.541265,"sentiment, sentence, story, conversation, dialogue, narrative, word, dataset, text, tweet, twitter, language, recursive, emnlp, emotion, event, neural, protest, recurrent_neural_network, representation, rumor, sarcasm, social_medium, sociolinguist, solidarity","conversation, dataset, dialogue, story, text, conversational, emotion, narrative, sentiment, social_medium, language, llm, sentence, tweet, bert, human, sarcasm"
cs,2,2000–2005,2005–2010,2000–2005 → 2005–2010,0.282541,0.717459,"retrieval, topic, article, assessment, classifier, document, energy, filter, firing, inex, irex, list, marko, match, novelty, pool, preposition, relevance, relevant, search, sentence, total, trec_trec, userdefined, vector, word, xml, zettair","relevance, retrieval, document, query, expansion, measure, term, conformity, cooccurrence, assessment, candidate, certain, determination, distribution, fouri, fractal, inex, list, novelty, pool, ranking, rule, search, sentence, topic, xml, yahoo, zettair"
cs,2,2005–2010,2010–2015,2005–2010 → 2010–2015,0.475204,0.524796,"relevance, retrieval, document, query, expansion, measure, term, conformity, cooccurrence, assessment, candidate, certain, determination, distribution, fouri, fractal, inex, list, novelty, pool, ranking, rule, search, sentence, topic, xml, yahoo, zettair","document, query, relevance, retrieval, term, eliteness, information, search, click, expansion, unachievable, wordnet, yahoo, attractiveness, cluster, function, hypothesis, item, list, moqa, probfuse, product, purchase, ranking, relevant, review, segmentation"
cs,2,2010–2015,2015–2020,2010–2015 → 2015–2020,0.706508,0.293492,"document, query, relevance, retrieval, term, eliteness, information, search, click, expansion, unachievable, wordnet, yahoo, attractiveness, cluster, function, hypothesis, item, list, moqa, probfuse, product, purchase, ranking, relevant, review, segmentation","document, query, relevance, search, retrieval, relevant, review, information, poi, purchase, ranking, search_engine, trec, click, email, expansion, moqa, nvsm, patent, prf, product, question, sentence, session, shallow_judging, text, topic, word"
cs,2,2015–2020,2020–2025,2015–2020 → 2020–2025,0.669059,0.330941,"document, query, relevance, search, retrieval, relevant, review, information, poi, purchase, ranking, search_engine, trec, click, email, expansion, moqa, nvsm, patent, prf, product, question, sentence, session, shallow_judging, text, topic, word","document, information, query, relevance, retrieval, search, ranking, passage, bert, llm, bm25, expansion, language, legal, neural, poi, qpp, question, rag, relevant, retriever, text, trec"
