subject,topic_id,window,win_start,win_end,top_words,n_words
cs,0,2000–2005,2000,2005,"algorithm, datum, information, network, program, set, code, communication, language, logic, theory, belief_revision, complexity, constraint, decision, finite, function, graph, grid, interface, order, polynomial, power, programming, quantum, region, resource, rule, scheme, semantic, service, space, standard",33
cs,0,2005–2010,2005,2010,"channel, complexity, datum, set, algorithm, information, linear, network, scheme, code, communication, function, optimal, capacity, class, constraint, design, distribution, error, finite, graph, image, level, logic, node, optimization, power, random, rate, source, space, structure, theory, tree",34
cs,0,2010–2015,2010,2015,"optimal, structure, channel, code, complexity, function, node, property, rate, scheme, set, constraint, linear, non, order, class, computation, distribution, energy, game, graph, information, language, multi, point, probability, processing, program, random, transmission, tree, way",32
cs,0,2015–2020,2015,2020,"machine, matrix, game, property, recognition, action, approximation, complexity, software, constraint, detection, modeling, computation, conventional, cost, datum, distance, edge, energy, link, node, non, pattern, point, policy, program, random, rate, representation, signal, tool, transmission",32
cs,0,2020–2025,2020,2025,"approximation, game, modeling, policy, representation, consistency, adversarial, linear, multi, datum, local, machine, recognition, matrix, software, transformation",16
cs,1,2000–2005,2000,2005,"algorithm, datum, set, function, information, logic, network, program, code, language, quantum, structure, theory, channel, class, complexity, computation, constraint, dynamic, graph, interface, length, management, mobile, order, pattern, rule, scheme, semantic, service, text, type",32
cs,1,2005–2010,2005,2010,"channel, datum, code, graph, algorithm, network, scheme, set, class, distribution, function, property, rate, structure, complexity, information, language, length, linear, logic, matrix, node, non, order, polynomial, protocol, quantum, random, source, term, theory, type",32
cs,1,2010–2015,2010,2015,"node, scheme, network, optimal, channel, code, class, communication, cost, linear, property, protocol, set, structure, complexity, distribution, efficient, function, graph, image, layer, logic, matrix, non, optimization, order, particular, probability, random, scale, semantic, source, type",33
cs,1,2015–2020,2015,2020,"scale, semantic, network, complexity, estimation, setting, able, dimensional, game, goal, node, step, accuracy, area, behavior, cnn, code, cost, development, instance, layer, linear, optimal, point, probability, question, resource, scheme, social, software, source, term",32
cs,1,2020–2025,2020,2025,"setting, function, knowledge, scale, end, robotic, able, accuracy, architecture, channel, parallel, social, choice, concern, estimation, datum, detailed, dimensional, goal, power, semantic, software",22
cs,2,2000–2005,2000,2005,"algorithm, information, datum, network, function, language, logic, program, property, code, semantic, set, cluster, constraint, decision, description, digital, economic, graph, grid, internet, linear, node, optimal, optimization, order, programming, quantum, requirement, scale, strategy",31
cs,2,2005–2010,2005,2010,"code, graph, channel, datum, function, set, algorithm, information, network, rate, class, language, capacity, design, environment, linear, node, non, optimal, order, path, probability, property, quantum, scheme, service, signal, structure, theory, tree",30
cs,2,2010–2015,2010,2015,"node, optimal, code, function, space, channel, design, non, order, protocol, service, set, signal, term, communication, complexity, control, cost, dynamic, efficient, graph, information, level, multi, optimization, point, probability, property, rate, scale, scheme, size, social, software, structure, variable, way",37
cs,2,2015–2020,2015,2020,"cost, point, capability, complexity, error, signal, well, communication, individual, node, objective, output, source, able, condition, datum, decision, efficiency, factor, human, instance, key, matrix, order, particular, probability, property, rate, robot, sequence, similar, term, text, traditional, variable, view",36
cs,2,2020–2025,2020,2025,"capability, datum, human, output, cost, dimension, frame, point, vision_language, well, kernel, factor, individual, matrix, non, shape, source, subset",18
cs,3,2000–2005,2000,2005,"algorithm, datum, information, logic, network, theory, computer, function, language, property, software, channel, class, code, complexity, constraint, economic, environment, finite, free, graph, non, optimal, program, rule, scheme, search, service, structure, type, web",31
cs,3,2005–2010,2005,2010,"channel, code, information, scheme, algorithm, datum, graph, network, theory, constraint, function, linear, logic, class, design, distribution, efficient, error, inequality, language, optimal, property, protocol, rate, set, signal, size, spreadsheet, term, tree, type, wireless",32
cs,3,2010–2015,2010,2015,"scheme, space, structure, channel, class, function, linear, node, order, code, detection, distribution, non, optimal, property, capacity, complexity, design, efficient, energy, graph, information, language, particular, point, protocol, random, set, signal, size, sparse, tree, wireless",33
cs,3,2015–2020,2015,2020,"detection, property, signal, step, able, development, field, particular, game, global, limited, linear, point, random, size, class, condition, dataset, design, key, language, matrix, observation, probability, robot, selection, standard, strategy, structure, theoretical, vector",31
cs,3,2020–2025,2020,2025,"development, global, limited, theoretical, control, detection, explanation, label, public, dataset, utility, field, step, able, benchmark, game, unsupervised",17
cs,4,2000–2005,2000,2005,"algorithm, datum, function, information, language, network, set, code, point, program, property, theory, access, agent, channel, complexity, domain, grid, linear, logic, order, particular, programming, quantum, semantic, service, single, structure, termination, type, way",31
cs,4,2005–2010,2005,2010,"channel, code, information, algorithm, datum, function, network, rate, set, linear, point, property, size, source, structure, complexity, computer, constraint, error, form, graph, image, node, order, pattern, probability, relay, scheme, sequence",29
cs,4,2010–2015,2010,2015,"channel, function, linear, node, scheme, class, code, error, non, order, probability, property, rate, set, size, space, structure, classification, complexity, constant, constraint, dynamic, efficient, image, knowledge, multi, point, power, protocol, random, scale, signal, theory",33
cs,4,2015–2020,2015,2020,"rate, benchmark, network, dynamic, area, edge, goal, interaction, mechanism, online, type, word, action, approximation, behavior, complexity, constraint, device, efficiency, field, group, knowledge, linear, probability, program, random, retrieval, scale, scheme, semantic, size, software, source, standard, step, structure, term, visual, way",39
cs,4,2020–2025,2020,2025,"benchmark, interaction, retrieval, multimodal, random, camera, dynamic, type, contribution, device, distribution, guidance, rate, self, area, goal, inherent, network, rank",19
cs,5,2000–2005,2000,2005,"algorithm, program, information, constraint, datum, logic, network, programming, property, code, complexity, function, language, rule, set, theory, word, access, channel, internet, node, non, quantum, representation, resource, scheme, search, software, standard",29
cs,5,2005–2010,2005,2010,"channel, code, information, algorithm, graph, rate, set, class, design, function, linear, network, scheme, structure, complexity, computation, constraint, datum, dynamic, logic, matrix, node, optimal, order, polynomial, program, property, protocol, random, resource, space, strategy, theory",33
cs,5,2010–2015,2010,2015,"channel, image, design, linear, random, rate, class, language, matrix, optimization, point, property, scheme, set, signal, space, structure, agent, code, communication, computation, constraint, dynamic, function, graph, node, optimal, probability, query, real, size, source, theory",33
cs,5,2015–2020,2015,2020,"image, sequence, datum, estimation, matrix, property, random, segmentation, signal, baseline, communication, edge, error, linear, power, rate, channel, class, optimization, probability, processing, query, region, scale, similarity, size, structure, visual",28
cs,5,2020–2025,2020,2025,"baseline, estimation, similarity, visual, pipeline, practice, network, structure, vehicle, communication, natural, processing, datum, image, rag, representation, sequence, traffic",18
