subject,topic_id,first_year,last_year,n_years,cosine_sim,ttd,words_first,words_last
cs,0,2000,2025,26,0.0,1.0,"algorithm, rule, theory, program, datum, language, set, belief_revision, function, programming","policy, modeling, linear, local, consistency, adversarial, approximation, game, representation, transformation"
cs,1,2000,2025,26,0.003874,0.996126,"set, algorithm, program, datum, language, rule, pattern, logic, function, semantic","knowledge, setting, architecture, robotic, parallel, concern, detailed, power, choice, function"
cs,2,2000,2025,26,0.032069,0.967931,"logic, algorithm, program, language, information, datum, set, function, constraint, property","capability, output, vision_language, dimension, frame, datum, subset, human, kernel, non"
cs,3,2000,2025,26,0.0,1.0,"logic, information, algorithm, non, language, datum, theory, rule, property, computer","control, global, development, limited, theoretical, benchmark, utility, public, explanation, label"
cs,4,2000,2025,26,0.0,1.0,"algorithm, logic, datum, set, domain, termination, information, language, function, theory","benchmark, distribution, interaction, multimodal, retrieval, camera, random, guidance, rank, contribution"
cs,5,2000,2025,26,0.003874,0.996126,"algorithm, program, function, theory, rule, word, language, programming, complexity, representation","visual, representation, baseline, estimation, pipeline, similarity, practice, vehicle, natural, rag"
cs,6,2000,2025,26,0.022228,0.977772,"datum, order, language, set, complexity, algorithm, logic, information, program, constraint","graph, expert, social, downstream, advancement, capable, datum, wise, neural_network, benchmark"
cs,7,2000,2025,26,0.003874,0.996126,"logic, theory, algorithm, information, semantic, word, program, set, network, function","property, crucial, device, classical, reliable, dataset, datum, multi, reasoning, information"
cs,8,2000,2025,26,0.0,1.0,"algorithm, rule, logic, program, theory, structure, knowledge, property, agent, grammar","multi, robust, potential, accurate, flow, vector, geometric, synthesis, static, machine_learning"
cs,9,2000,2025,26,0.032069,0.967931,"algorithm, language, logic, program, representation, semantic, extension, set, theory, function","information, semantic, design, attack, computational, available, order, structural, gaussian, vlm"
cs,10,2000,2025,26,0.032069,0.967931,"query, language, algorithm, logic, information, program, property, structure, datum, semantic","diverse, strong, reconstruction, optimal, physical, language, adaptation, fundamental, protocol, variable"
cs,11,2000,2025,26,0.0,1.0,"logic, algorithm, program, order, tool, language, semantic, representation, annotation, set","code, network, planning, computation, shift, gain, scientific, datum, design, neural_network"
cs,12,2000,2025,26,0.0,1.0,"logic, algorithm, set, knowledge, language, space, information, semantic, class, query","human, prompt, metric, classification, search, region, sparse, speech, non, probability"
cs,13,2000,2025,26,0.014636,0.985364,"algorithm, semantic, language, set, theory, knowledge, information, function, constraint, rule","text, efficient, extensive, motion, dimensional, energy, capacity, algorithm, great, difference"
cs,14,2000,2025,26,0.0,1.0,"algorithm, logic, information, language, set, theory, function, code, proof, representation","environment, sample, end, field, relationship, lightweight, additional, scalability, client, importance"
cs,15,2000,2025,26,0.0,1.0,"information, algorithm, logic, program, set, rule, query, knowledge, datum, language","real, attention, finding, safety, loss, medical, superior, group, category, validation"
cs,16,2000,2025,26,0.0,1.0,"logic, algorithm, information, language, semantic, theory, datum, non, program, function","real_world, space, self, robot, average, perception, view, core, recommendation, learning"
cs,17,2000,2025,26,0.0,1.0,"information, program, algorithm, set, logic, programming, attribute, datum, theory, semantic","effective, mechanism, modality, deep, advanced, original, minimal, proof, style, assumption"
cs,18,2000,2025,26,0.0,1.0,"algorithm, logic, program, rule, proof, semantic, information, function, structure, complexity","adaptive, pattern, insight, hierarchical, causal, theory, precise, precision, navigation, series"
