doc_idx,topic_id,topic_label,confidence,original_topic_id,subject,best_model,min_docs,ngram_range,max_features,coherence,irbo
3,74,Intuitionistic Logic ASP,0.5126684308052063,187,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
6,28,Example-Based Metonymy Learning,0.6183278560638428,50,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
9,118,Advice Complexity Mapping,0.5181052684783936,329,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
11,3,Nonmonotonic Logic Encoding,0.5597140192985535,5,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
18,21,Corpus Annotation Integration,0.670050859451294,30,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
19,253,Pruning Impact Analysis,0.6052995920181274,586,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
20,25,Computational Physics Patterns,0.6065155863761902,41,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
23,23,Boosting for Pattern Recognition,0.574515163898468,39,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
26,31,Causal Model Formalization,0.5218121409416199,57,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
27,85,Succinct Model Representation,0.52607661485672,231,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
28,7,Dynamic Semantics Resolution,0.5116843581199646,11,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
31,12,Predictor-Based Parsing,0.5711992383003235,17,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
33,17,Mathematical Software Evolution,0.512154221534729,23,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
34,27,Data Mining Challenges,0.5215601921081543,49,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
35,23,Boosting for Pattern Recognition,0.5331871509552002,39,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
43,3,Nonmonotonic Logic Encoding,0.6832948923110962,5,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
46,28,Example-Based Metonymy Learning,0.5051050782203674,50,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
50,7,Dynamic Semantics Resolution,0.5530147552490234,11,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
51,74,Intuitionistic Logic ASP,0.6386667490005493,187,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
58,96,Quantum Query Complexity,0.67445307970047,266,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
59,215,Range-Avoidance Circuit Complexity,0.5445148944854736,526,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
60,0,Web Text Database Classification,0.5099691152572632,1,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
63,6,Type Class Extensions,0.8133375644683838,8,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
65,3,Nonmonotonic Logic Encoding,0.5503723621368408,5,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
67,28,Example-Based Metonymy Learning,0.5132509469985962,50,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
68,7,Dynamic Semantics Resolution,0.7633874416351318,11,cs,all_mpnet_base_v2,100,"(1, 1)",10000,0.6952843055417145,0.9903110718098943
