subject,topic_id,topic_label,top_words,total_docs,first_year,last_year,early_proportion,late_proportion,slope,r_squared,p_value,trend
cs,0,Web Text Database Classification,"search, query, web, queries, document",349,2000,2025,0.076935,0.003464,-0.0031916,0.6742,0.0,DECLINING
cs,1,AI Story Understanding,"models, llms, social, language, ai",560,2000,2025,0.005298,0.007841,0.0004095,0.2878,0.004727,GROWING
cs,2,Novelty-Based Retrieval Evaluation,"retrieval, rag, relevance, llm, documents",318,2000,2025,0.013431,0.004824,-0.00021744,0.0685,0.196437,STABLE
cs,3,Predictor-Based Parsing,"reasoning, language, llms, models, logical",508,2000,2025,0.021333,0.007747,-0.00034584,0.0575,0.238028,STABLE
cs,4,Combinatorial Auction Optimization,"facility, auctions, item, knapsack, agents",276,2000,2025,0.031305,0.003,-0.0011414,0.4346,0.000249,DECLINING
cs,5,Variable Word Rate Modeling,"models, language, llms, model, context",644,2000,2025,0.021852,0.009308,-0.0002134,0.0154,0.545718,STABLE
cs,6,Multi-Channel Rate Distortion Optimization,"channel, djscc, csi, scheme, coding",485,2000,2025,0.073526,0.002324,-0.00222414,0.1378,0.061852,STABLE
cs,7,Spatial-Textual Document Analysis,"3d, document, point, models, diffusion",274,2011,2025,0.003185,0.004745,0.00023779,0.7559,0.0,GROWING
cs,8,Conditional Rewriting Systems,"automata, forall, regular, proof, quak",247,2000,2025,0.055465,0.001799,-0.00258711,0.6362,1e-06,DECLINING
cs,9,User Privacy Tools,"privacy, data, compliance, protection, federated",248,2000,2025,0.013884,0.003486,-0.00019907,0.0593,0.230522,STABLE
cs,10,Spec-Language Compilation,"llms, code, language, llm, generation",679,2000,2025,0.09509,0.0072,-0.00364448,0.6482,1e-06,DECLINING
cs,11,Distributed Object Store Coherence,"cxl, memory, data, performance, workloads",291,2000,2025,0.029012,0.003099,-0.00091246,0.2442,0.010291,DECLINING
cs,12,Planar Graph Encoding,"graph, varepsilon, graphs, gumap, gg",269,2001,2025,0.02706,0.002475,-0.00089085,0.3395,0.001789,DECLINING
cs,13,Resource Discovery Infrastructure,"rag, retrieval, llms, language, metadata",247,2000,2025,0.058185,0.003244,-0.00220693,0.4456,0.000195,DECLINING
cs,14,Dynamic Topic Modeling,"dialogue, attention, models, llms, language",244,2001,2025,0.004992,0.003888,0.00012624,0.0951,0.125317,STABLE
cs,15,Distributed Time-Stamped Key Archiving,"blockchain, byzantine, consensus, decentralized, protocol",271,2001,2025,0.021351,0.003391,-0.00055455,0.2636,0.007301,DECLINING
cs,16,Graph Realization Theory,"mathcal, graphs, hh, mathsf, graph",305,2000,2025,0.025437,0.002821,-0.000902,0.3851,0.000719,DECLINING
cs,17,Incremental Universal Search,"reasoning, llms, learning, rag, search",376,2002,2025,0.005461,0.00622,0.00019196,0.198,0.022742,GROWING
cs,18,Planning-Augmented RL,"rl, policy, learning, reinforcement, policies",1212,2001,2025,0.020438,0.019524,0.00035176,0.0514,0.265352,STABLE
cs,19,Domain-Informed Sampling,"medical, imaging, cancer, clinical, ct",250,2002,2025,0.003293,0.003884,0.00011131,0.1027,0.110517,STABLE
cs,20,Semantic Polarity Learning,"sentiment, llms, analysis, language, polarity",229,2002,2025,0.015143,0.003292,-0.00026065,0.0514,0.265189,STABLE
cs,21,Cross-Lingual Patent Retrieval,"models, language, image, vision, semantic",309,2015,2025,0.00689,0.004792,0.00029803,0.5388,2e-05,GROWING
cs,22,Context-Dependent Classification,"graph, learning, diagnosis, clinical, multimodal",333,2002,2025,0.006296,0.005851,0.00011322,0.0338,0.368707,STABLE
cs,23,Adaptive Motivation Learning,"learning, rl, reinforcement, policy, reward",424,2013,2025,0.004846,0.006995,0.00037583,0.6893,0.0,GROWING
cs,24,Monotone Hypergraph Transversals,"mathcal, graphs, graph, vertex, problem",347,2001,2025,0.014558,0.003684,-0.00024574,0.0206,0.484314,STABLE
cs,25,Catadioptric Projection Optimization,"3d, reconstruction, view, 3dgs, rendering",246,2003,2025,0.003935,0.004432,0.00013139,0.1584,0.044037,GROWING
cs,26,Epistemic Blame Theory,"causal, llms, reasoning, learning, data",284,2003,2025,0.004697,0.005051,0.00016708,0.189,0.026447,GROWING
cs,27,Runtime Monitoring Languages,"verification, security, rust, safety, formal",386,2000,2025,0.023824,0.005056,-0.00064952,0.1812,0.030126,DECLINING
cs,28,Hypergraph Approximation Hardness,"vertex, graphs, graph, algorithm, problem",411,2000,2025,0.019099,0.004431,-0.0006287,0.2312,0.012891,DECLINING
cs,29,AS Topology Modeling,"network, networks, nodes, centrality, hln",263,2000,2025,0.053426,0.00167,-0.00229651,0.3643,0.001097,DECLINING
cs,30,Single-Camera Gaze-Orientation Estimation,"gaze, eye, vla, vision, visual",317,2004,2025,0.004889,0.004914,0.00020152,0.3214,0.002526,GROWING
cs,31,Dominating Set Approximation and Partial Order Episode Mining,"graphs, approximation, problem, varepsilon, algorithm",320,2000,2025,0.024462,0.003953,-0.00092505,0.5324,2.3e-05,DECLINING
cs,32,Nonlinear Rating Scaling,"reward, rl, learning, policy, reinforcement",558,2011,2025,0.003173,0.009048,0.00040214,0.5873,5e-06,GROWING
cs,33,Decentralized Identity Networks,"decentralized, agent, federated, attack, llms",246,2003,2025,0.012939,0.002712,-0.00017791,0.0467,0.288914,STABLE
cs,34,Succinct Model Representation,"csps, mathsf, satisfiability, tsev, boolean",263,2000,2025,0.057223,0.002189,-0.00283816,0.7775,0.0,DECLINING
cs,35,Space-Time Coding Performance,"mimo, beamforming, beam, antenna, channel",401,2004,2025,0.059548,0.003241,-0.00106645,0.075,0.175739,STABLE
cs,36,MIMO Channel Optimization,"fas, ris, antenna, channel, mimo",406,2004,2025,0.040979,0.003352,-0.00079037,0.0743,0.177766,STABLE
cs,37,Capacity-Aware Mechanism Design,"auctions, bidders, auction, revenue, bidding",240,2001,2025,0.018714,0.002659,-0.0003692,0.0859,0.146241,STABLE
cs,38,Intrinsic Dimension Analysis,"manifold, manifolds, data, euclidean, dimensional",279,2002,2025,0.010729,0.003742,-0.00010039,0.0251,0.439216,STABLE
cs,39,Energy-Efficient Communication,"ris, energy, mimo, bd, power",280,2005,2025,0.009208,0.002268,0.00018126,0.0257,0.434198,STABLE
cs,40,Rate-Distortion Testing,"compression, video, udc, distortion, image",305,2012,2025,0.002407,0.004791,0.00029036,0.6557,1e-06,GROWING
cs,41,Orthogonal Group Coding Theory,"codes, mathbb, mds, solomon, reed",343,2001,2025,0.054491,0.00279,-0.00246266,0.4729,0.000104,DECLINING
cs,42,Dual Code Gray Mapping,"codes, mathbb, mathcal, mathfrak, textbaro",327,2002,2025,0.038833,0.00312,-0.00120728,0.2978,0.003929,DECLINING
cs,43,Valuation-Based Metrics,"backdoor, attacks, attack, poisoning, model",331,2013,2025,0.003065,0.006204,0.00027848,0.6482,1e-06,GROWING
cs,44,Monotone Search Games,"bf, games, game, player, players",320,2001,2025,0.025669,0.002771,-0.00101767,0.3121,0.003013,DECLINING
cs,45,Dynamic Network Optimization,"agent, marl, agents, multi, learning",349,2000,2025,0.01323,0.005702,-0.00010065,0.0212,0.477416,STABLE
cs,46,Finite Field Sparse Matrix Multiplication,"matrix, multiplication, gpu, sparse, memory",337,2000,2025,0.014972,0.00384,-0.00052273,0.1543,0.047164,DECLINING
cs,47,Kernel Herding Methods,"kernel, gaussian, diffusion, sampling, distributions",404,2005,2025,0.009868,0.005738,0.00029931,0.2014,0.021481,GROWING
cs,48,Social Network Aggregation Dynamics,"social, opinion, network, networks, voting",426,2001,2025,0.010042,0.003725,-0.00021909,0.0104,0.620402,STABLE
cs,49,Mobile Augmented Reality Systems,"detection, object, vehicle, yolo, real",212,2008,2025,0.003131,0.003403,0.00018446,0.5533,1.3e-05,GROWING
cs,50,Differential Privacy Mechanisms,"privacy, dp, private, differentially, differential",459,2004,2025,0.010477,0.007071,0.00031999,0.244,0.010333,GROWING
cs,51,Real-Time Compression Systems,"compression, quantization, bit, neural, hardware",336,2013,2025,0.003577,0.004874,0.00033126,0.5593,1.1e-05,GROWING
cs,52,Edge-Cloud Deployment,"cloud, edge, computing, 5g, network",300,2008,2025,0.006455,0.004401,0.00025852,0.2429,0.010521,GROWING
cs,53,Velocity-Aware Action Recognition,"motion, action, human, recognition, gesture",836,2011,2025,0.009741,0.011787,0.00088972,0.4729,0.000104,GROWING
cs,54,Cluttered Grasping Optimization,"manipulation, object, robotic, grasping, robot",352,2012,2025,0.004184,0.005581,0.00031086,0.6909,0.0,GROWING
cs,55,Visual Debugging Sequences,"adversarial, attacks, models, deep, learning",358,2015,2025,0.006615,0.005587,0.00035533,0.5254,2.8e-05,GROWING
cs,56,Compressed Data Detection,"traffic, iot, network, detection, encrypted",290,2006,2025,0.004568,0.004688,0.00024581,0.4387,0.000228,GROWING
cs,57,Sparse Weight Tuning Networks,"learning, tabular, data, model, deep",1079,2012,2025,0.005116,0.018004,0.00100113,0.7421,0.0,GROWING
cs,58,Psychiatric Readmission Prediction,"clinical, health, patient, mental, ehr",304,2011,2025,0.003236,0.004884,0.00026671,0.7103,0.0,GROWING
cs,59,Domain Expert Usability AI,"ai, medical, clinical, models, healthcare",222,2016,2025,0.001226,0.003965,0.0001707,0.6398,1e-06,GROWING
cs,60,Cuboid Structure Recovery,"3d, segmentation, shape, object, image",561,2011,2025,0.011605,0.008073,0.00058147,0.46,0.00014,GROWING
cs,61,Bandit Learning Games,"regret, bandit, bandits, learning, games",1193,2001,2025,0.016437,0.01817,0.00030617,0.0406,0.323828,STABLE
cs,62,Characteristic-Driven Summarization,"summarization, summaries, llms, text, summary",256,2000,2025,0.019782,0.004275,-0.00046014,0.2251,0.01433,DECLINING
cs,63,Sub-Character MT Performance,"translation, calligraphy, chinese, character, danish",276,2002,2025,0.011129,0.003297,9.535e-05,0.0154,0.546502,STABLE
cs,64,Audio Prior Networks,"audio, binaural, separation, music, sound",331,2012,2025,0.005145,0.005093,0.00032381,0.5987,4e-06,GROWING
cs,65,Video Explainability Frameworks,"video, temporal, models, driving, learning",875,2013,2025,0.010934,0.013568,0.00083105,0.6479,1e-06,GROWING
cs,66,Soft Channel Coding Exponents,"channels, channel, rate, codes, secrecy",523,2001,2025,0.075489,0.002896,-0.0026499,0.1821,0.029708,DECLINING
cs,67,Millimeter Wave 5G Integration,"satellite, terrestrial, leo, 5g, ntn",272,2001,2025,0.007232,0.002772,0.00021172,0.0635,0.214237,STABLE
cs,68,UAV-5G Blockchain Networks,"uav, blockchain, iot, edge, federated",203,2017,2025,0.004102,0.003432,0.00018527,0.5773,7e-06,GROWING
cs,69,Quantum Random Feature Sampling,"quantum, qml, classical, learning, qubit",324,2010,2025,0.003969,0.005653,0.00025931,0.6818,0.0,GROWING
cs,70,GAN Attribute Editing,"fashion, editing, clothing, image, makeup",213,2014,2025,0.004369,0.00335,0.00021644,0.4985,5.6e-05,GROWING
cs,71,Cold Start Recommendation,"recommendation, item, user, recommender, llm",847,2001,2025,0.007948,0.012862,0.00050913,0.429,0.000283,GROWING
cs,72,Random Layer Mixup,"segmentation, medical, image, mri, tumor",1967,2013,2025,0.018051,0.033841,0.00182608,0.6869,0.0,GROWING
cs,73,Multimodal Semantic Forecasting,"driving, trajectory, autonomous, traffic, diffusion",473,2012,2025,0.002381,0.007872,0.00040006,0.7702,0.0,GROWING
cs,74,Pessimistic Reinforcement Learning,"safety, reward, reinforcement, learning, safe",250,2008,2025,0.00293,0.004508,0.00020173,0.5394,1.9e-05,GROWING
cs,75,Abuse Intent Detection,"hate, speech, detection, counterspeech, social",309,2014,2025,0.003159,0.005447,0.00029252,0.6433,1e-06,GROWING
