doc_idx,topic_id,topic_label,confidence,original_topic_id,subject,best_model,coherence,irbo
2,62,Polynomial congruence bounds,0.6050227880477905,223,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
3,44,Symplectic fourfold constructions,0.555976152420044,134,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
4,87,Martingale measure augmentation,0.5084016919136047,385,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
7,18,Geometric group theory equivalence,0.5240958333015442,43,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
9,12,Formal Morita equivalence,0.726626992225647,25,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
13,7,Foliation theory,0.537777841091156,14,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
14,122,Polynomial vanishing sets,0.5184794068336487,606,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
16,37,Conformal Dirac obstructions,0.6025853157043457,98,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
19,106,Weakly compact cardinal trees,0.577172040939331,499,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
20,23,Fano variety bounds,0.6461466550827026,63,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
21,65,Gibbs measure convergence,0.5255254507064819,235,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
24,81,Grassmannian polynomial systems,0.5541431307792664,361,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
26,101,Caterpillar percolation analysis,0.6555792689323425,467,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
29,5,Yangian deformations,0.5529547929763794,11,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
30,15,Singular variety zeta invariants,0.5787337422370911,32,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
32,45,Random packing asymptotics,0.5477529764175415,135,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
33,35,Multiple hypergeometric summation,0.5920743942260742,96,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
37,6,Multiplier ideals,0.6226412057876587,12,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
44,120,Complete intersection foliations,0.5444761514663696,592,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
45,23,Fano variety bounds,0.5698249340057373,63,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
46,4,Polynomial norm bounds,0.5147133469581604,9,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
47,18,Geometric group theory equivalence,0.5374886393547058,43,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
48,28,Geometric Yang-Baxter solutions,0.5692256689071655,75,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
50,12,Formal Morita equivalence,0.5531811714172363,25,math,sentence_transformers_all_MiniLM_L6_v2,0.7161513981623087,0.9067287016728109
