subject,best_model,min_docs,ngram_range,max_features,n_topics,coherence,irbo,topic_quality,time_seconds
math,sentence_transformers_all_MiniLM_L6_v2,10,"(1, 1)",10000.0,565,0.6002607428451696,0.9944231937510659,0.748628850572628,66.91156005859375
math,sentence_transformers_all_MiniLM_L6_v2,10,"(1, 1)",50000.0,565,0.5815404894305012,0.9948410332040556,0.7340105543968607,64.69725608825684
math,sentence_transformers_all_MiniLM_L6_v2,10,"(1, 1)",,565,0.5812550310608056,0.9948351324841271,0.7337815253702634,64.80518221855164
math,sentence_transformers_all_MiniLM_L6_v2,25,"(1, 1)",10000.0,497,0.6230939288008903,0.9934168058543942,0.7658371372330639,60.72229290008545
math,sentence_transformers_all_MiniLM_L6_v2,25,"(1, 1)",50000.0,497,0.6108847873714706,0.9936957695000812,0.7566259262961403,60.482635498046875
math,sentence_transformers_all_MiniLM_L6_v2,25,"(1, 1)",,497,0.6110025496809405,0.9936885989700773,0.7567141680645836,61.29093289375305
math,sentence_transformers_all_MiniLM_L6_v2,50,"(1, 1)",10000.0,391,0.6562769852056822,0.9916629138115602,0.7898413575099887,49.100109577178955
math,sentence_transformers_all_MiniLM_L6_v2,50,"(1, 1)",50000.0,391,0.652579157763991,0.991724885382812,0.7871767866753852,49.86309313774109
math,sentence_transformers_all_MiniLM_L6_v2,50,"(1, 1)",,391,0.652905308201304,0.9917140657750647,0.7874106119276297,50.58389639854431
math,sentence_transformers_all_MiniLM_L6_v2,100,"(1, 1)",10000.0,251,0.679545475528994,0.9880107245314426,0.8052480792897913,40.92963004112244
math,sentence_transformers_all_MiniLM_L6_v2,100,"(1, 1)",50000.0,251,0.6788466992942449,0.9879702398082404,0.8047438402350088,41.436152935028076
math,sentence_transformers_all_MiniLM_L6_v2,100,"(1, 1)",,251,0.6788466992942449,0.9879686714417065,0.8047433199448842,41.55656933784485
math,sentence_transformers_all_MiniLM_L6_v2,150,"(1, 1)",10000.0,175,0.6879758516144858,0.9844150627010109,0.8099228251684669,37.37200331687927
math,sentence_transformers_all_MiniLM_L6_v2,150,"(1, 1)",50000.0,175,0.6864925752759076,0.9843150897197893,0.8088603026394579,38.82746863365173
math,sentence_transformers_all_MiniLM_L6_v2,150,"(1, 1)",,175,0.6865804549472144,0.9843057753529688,0.808918154628648,38.64534592628479
math,sentence_transformers_all_MiniLM_L6_v2,200,"(1, 1)",10000.0,124,0.6923662297770348,0.9816994894792346,0.8120297338704175,36.23014998435974
math,sentence_transformers_all_MiniLM_L6_v2,200,"(1, 1)",50000.0,124,0.6914268272548231,0.9815960809330224,0.8113479576483413,36.47915053367615
math,sentence_transformers_all_MiniLM_L6_v2,200,"(1, 1)",,124,0.6914268272548231,0.9815898090093403,0.8113458151471757,36.495140075683594
math,sentence_transformers_all_MiniLM_L6_v2,250,"(1, 1)",10000.0,90,0.6700671193988657,0.9761434683736417,0.7946512346089665,35.32899856567383
math,sentence_transformers_all_MiniLM_L6_v2,250,"(1, 1)",50000.0,90,0.6677740212367703,0.9756727771529515,0.7928810722496743,36.7078332901001
math,sentence_transformers_all_MiniLM_L6_v2,250,"(1, 1)",,90,0.6677740212367703,0.9756727771529515,0.7928810722496743,36.819995403289795
