subject,year_from,year_to,target_topic,n_sources,source_topics,source_sims,target_words
physics,2015,2016,16,2,"[10, 16]","[0.5, 0.5]","turbulence, turbulent, rnl, flow, flows, reynolds, sim, geostrophic, dns, boldsymbol"
physics,2017,2018,11,2,"[11, 48]","[0.5, 0.5]","oam, optical, optomechanical, photonic, quantum, topological, light, spin, switching, photon"
physics,2017,2018,35,2,"[35, 36]","[0.8, 0.5]","networks, epidemic, network, social, spreading, infected, node, nodes, disease, model"
physics,2018,2019,17,2,"[17, 38]","[0.5, 0.6]","plasmonic, plasmon, plasmons, surface, graphene, gold, polaritons, dielectric, optical, film"
physics,2019,2020,17,2,"[17, 41]","[0.6, 0.5]","plasmon, plasmonic, surface, optical, gold, light, nps, field, emission, graphene"
physics,2019,2020,43,2,"[43, 49]","[0.5, 0.5]","photoelectron, molecular, attosecond, dynamics, mfpads, laser, molecules, electron, leis, ionization"
physics,2020,2021,10,2,"[10, 16]","[0.5, 0.5]","flow, turbulence, reynolds, flows, turbulent, fluid, rotating, viscous, ri, drag"
physics,2020,2021,48,2,"[11, 48]","[0.5, 0.7]","quantum, photonic, photon, integrated, optical, silicon, cavity, single, qubits, chip"
physics,2020,2021,41,2,"[41, 58]","[0.5, 0.5]","metasurfaces, optical, hyperbolic, nonlinear, spin, metasurface, light, polaritons, devices, graphene"
physics,2021,2022,14,2,"[14, 40]","[0.8, 0.7]","beam, accelerator, laser, accelerators, high, beams, acceleration, energy, plasma, electron"
physics,2021,2022,35,2,"[35, 36]","[0.7, 0.6]","epidemic, covid, network, networks, pandemic, social, disease, model, individuals, infected"
physics,2022,2023,40,2,"[0, 40]","[0.6, 0.7]","laser, acceleration, plasma, electron, positron, wakefield, beam, beams, particle, rm"
physics,2023,2024,40,2,"[14, 40]","[0.5, 0.6]","plasma, laser, acceleration, electron, beam, positron, pulse, relativistic, target, electrons"
