subject,topic_id,window,win_start,win_end,top_words,n_words
physics,0,2000–2005,2000,2005,"beam, plasma, ion, electron, collider, collisionless, fusion, gamma, hot_spot, mri, par, quark_gluon, charge, coherent, converter, dense, electromagnetic, fuel, gev, gol, kevsec, lsim, macroscopic, meson, muon, particle, pep, photon, poicare, positron, simulated, wakefield",32
physics,0,2005–2010,2005,2010,"beam, plasma, electron, ion, dust, fusion, particle, bunch, instability, laser, neutrino, shock, beatwave, charge, collider, collisionless, contamination, deplete, electromagnetic, filamentation, gamma, laser_pulse, lens, macroscopic, mpwa, particulate, photon, relativistic, wake, wakefield, weibel_instability",31
physics,0,2010–2015,2010,2015,"beam, electron, instability, ion, particle, plasma, laser, relativistic, wave, density, dust, shock, wakefield, bunch, energy, filamentation, magnetic_field, pic, runaway",19
physics,0,2015–2020,2015,2020,"beam, electron, instability, ion, particle, plasma, wakefield, laser, magnetic_field, pic, shock, bunch, reconnection, relativistic, runaway",15
physics,0,2020–2025,2020,2025,"beam, electron, instability, ion, laser, particle, plasma, bunch, energy, magnetic_field, shock, wakefield, wave",13
physics,1,2000–2005,2000,2005,"correction, energy, alpha, atom, radiative, relativistic, lamb_shift, level, pnc, qed, calculation, hydrogen, kaonic, parity_nonconservation, atomic, breit, electron, grecp, hyperfine_splitting, ion, loop, photon, pionic, recoil, splitting_muonium, tlh",26
physics,1,2005–2010,2005,2010,"correction, relativistic, calculation, energy, hydrogen, electron, hyperfine, hyperfine_splitting, ion, muonic_hydrogen, nuclear, atom, qed, black_body, calc, dkb, e112h, expt, kaonic, lamb_shift, muon, order, pionic_kaonic, radiative, superheavy_element, zalpha",26
physics,1,2010–2015,2010,2015,"calculation, correction, lamb_shift, muonic_hydrogen, relativistic, proton, muonic, ion, electron, energy, hyperfine_splitting, order, radius, 64d, atom, hydrogen, mass, muon, nuclear, puzzle, recoil",21
physics,1,2015–2020,2015,2020,"calculation, correction, lamb_shift, relativistic, electron, ion, muonic, isotope_shift, nuclear, energy, hydrogen, muonic_hydrogen, proton, qed, 64d, hvp, muon, polarizabilitie, puzzle, radius, tho",21
physics,1,2020–2025,2020,2025,"calculation, correction, electron, energy, nuclear, qed, relativistic, ion, hydrogen, lamb_shift, muonic, atom, contribution, effect, helium, hvp, hyperfine",17
physics,2,2000–2005,2000,2005,"dna, protein, ligand, tract, conformation, curvature, adenine, conformational, elasticity, molecular, rmsd, sequence, trp_cage, backbone, bend, cage, denaturation, double, elastic, enthalpy, exchange, fjc, folding, fragment, hamming_distance, helical, miniprotein, native, nmr, sh3, sidechain, stoichiometry, stretch, transition",34
physics,2,2005–2010,2005,2010,"dna, protein, conformation, folding, molecular, residue, trp_cage, zinc, denaturation, enthalpy, molecule, native, nucleosome, peptide, vivo, backbone, bend, binding, chain, dsdna, exchange, mole, multicanonical, multiscaal, network, rco, rmsd, sequence, wang_landau, zinc_finger",30
physics,2,2010–2015,2010,2015,"dna, protein, conformation, force, peptide, folding, molecule, chain, coarse, loop, nucleosome, residue, rna, structure, tmao, backbone, denaturation, filament, hp1, hydrogen_bond, molecular, multiscaal, rigidity, solvent, ssdna, strand, transition, zinc",28
physics,2,2015–2020,2015,2020,"dna, protein, chromatin, chromosome, rna, conformational, folding, molecular, nucleosome, force, dynamic, sequence, structure, chain, coarse, crispr, epigenetic, loop, molecule, subunit, transcription",21
physics,2,2020–2025,2020,2025,"conformational, dna, dynamic, molecular, protein, chromatin, force, cell, nucleosome, molecule, sequence, chromosome, conformation, emerin, folding, loop, membrane, motor, rouse, subunit",20
physics,3,2000–2005,2000,2005,"atom, laser, optical, trap, evaporative_cooling, cesium, cooling, mot, violet, metastable, sideband, 10muk, 111cd, 300nk, beam, cold_atom, collision, dipole, gravito, ion, lattice, molecule, photoassociation, storage, stray, temperature, vibrational",27
physics,3,2005–2010,2005,2010,"atom, laser, optical, trap, cooling, lattice, chip, cold_atom, magnetic, molecule, temperature, bessel, bose_einstein_condensate, cavity, collision, dimple, diode, dipole, ion, metastable, mot, sodium, textrm_textrm_textrm_textrm, tio, transfer, transition, ultracold, vibrational, violet",29
physics,3,2010–2015,2010,2015,"atom, cooling, laser, molecule, optical, temperature, trap, lattice, ultracold, atomic, evaporation, chip, cold_atom, doppler, ground, raman, vibrational",17
physics,3,2015–2020,2015,2020,"atom, cooling, laser, molecule, optical, trap, doppler, ion, quantum, temperature, atomic, cavity, ground, motional, optical_tweezer, raman, transition",17
physics,3,2020–2025,2020,2025,"atom, cooling, ion, laser, molecule, optical, quantum, trap, optical_tweezer, mot, temperature, cavity, cold_atom, transition",14
physics,4,2000–2005,2000,2005,"generation, impedance, microcavitie, nonlinear, photonic_crystal, pulse, rectification, second_harmonic, terahertz, vectorial",10
physics,4,2005–2010,2005,2010,"generation, nonlinear, second_harmonic, photonic_crystal, microcavitie, cavity, impedance, inp, kws, metallo_dielectric, mode, optical, rectification, waveguide, cdte, centrosymmetric, cmos_compatible, conversion_efficiency, dfg, dispersion, merit_fom, microcavity, multilayer, nanostructure, overlap, phasematching, pulse, quadratic, semiconductor, silicon_nitride, ta2o5, terahertz, vectorial, zincblende",34
physics,4,2010–2015,2010,2015,"nonlinear, optical, second_harmonic, generation, material, soliton, graphene, waveguide, metamaterial, mid, slab, centrosymmetric, chalcogenide, cmos_compatible, efficient, frequency_comb, fwm, kws, lorentz, medium, microresonator, nanostructure, nonlinearity, permittivitie, photonic, quadratic, shg, silicon_nitride, supercontinua",29
physics,4,2015–2020,2015,2020,"generation, graphene, nonlinear, optical, second_harmonic, waveguide, frequency_comb, microresonator, photonic, soliton, harmonic_generation, material, frequency, shg, thz",15
physics,4,2020–2025,2020,2025,"generation, nonlinear, optical, photonic, waveguide, second_harmonic, frequency_comb, graphene, harmonic_generation, material, frequency, microresonator, thz, harmonic, phonon",15
physics,5,2000–2005,2000,2005,"gas, fermi, boson, atom, collision, fermion, fermionic, sisyphu, stability, superfluid, superfluidity, wave, boson_fermion, contact, hotter, qcd, asymmetrical, energy, hermitian, mixture, noninteracting, plasma, quasiparticle, sum_rule, temperature, trap",26
physics,5,2005–2010,2005,2010,"fermi, fermion, gas, temperature, density, phase, superfluid, boson, fermionic, spin, transition, ultracold, yukawa, atom, atomic, chnc, dimer, eff, energy, hnc, interaction, mathcal, mixture, nucleation, plasma, quartic, superfluidity, wave",28
physics,5,2010–2015,2010,2015,"fermi, gas, phase, temperature, ultracold, atomic, quantum, density, superfluid, bose_gas, spin, transition, atom, eff, fermion, mathcal, pressure, roton, vortex, wave",20
physics,5,2015–2020,2015,2020,"fermi, gas, quantum, temperature, body, superfluid, phase, interaction, ultracold, atom, supersolid, vortex, atomic, bose_gas, condensate, density, droplet, lattice, particle, pressure, transition, unitarity",22
physics,5,2020–2025,2020,2025,"fermi, gas, quantum, temperature, interaction, superfluid, droplet, body, phase, polaron, density, liquid, supersolid, vortex, bose_gas, dipolar, impurity, quartet, yrast",19
physics,6,2000–2005,2000,2005,"fluid, newtonian, relativistic, clumpy, incompressible, abscence, alembert, cosmology, description, discontinuity, discretisation, energetic, invariant, navi_stoke, recursion_relation, shock, variational_principle, bilinear, clebsch, design, ertel, field, laboratory, means, motion, planetary_nebulae, poisson, riemann, school, smooth, sound, stellar, thought",33
physics,6,2005–2010,2005,2010,"fluid, relativistic, flow, hydrodynamic, invariant, shock, superfluid, euler, kuzmin, newtonian, oseledet, pnm, variational_principle, barotropic, bdb, clumpy, dilaton, discontinuity, ergoregion, field, gravitational, gravity, horizon, motion, particle, perpetuum_mobile, recursion_relation, renormalization_group, riemann, ripplon, rrmhd, sph, stiff",33
physics,6,2010–2015,2010,2015,"fluid, hydrodynamic, relativistic, shock, flow, scheme, sph, euler, newtonian, riemann, tensor, weno, bdb, circumstellar, cosmological, ejecta, gravitational, gravity, horizon, metric, navi_stoke, nsf, numerical, phantom, pnm, viscosity, wormhole",27
physics,6,2015–2020,2015,2020,"flow, fluid, hydrodynamic, relativistic, gravity, tensor, spacetime, dynamic, einstein, scheme, shock, viscosity, weno, anisotropic, cosmological, dissipative, formulation, horizon, hydrostatic, metric, navi_stoke, rmhd, sph, stress, theory, viscoelastic",26
physics,6,2020–2025,2020,2025,"flow, fluid, hydrodynamic, relativistic, particle, scheme, shock, sph, viscosity, compressible, gravity, numerical, smoothed, spacetime, velocity, einstein, hydrostatic, incompressible, textbf, textbf_textbf, viscous",21
