subject,year_from,year_to,target_topic,n_sources,source_topics,source_sims,target_words
cs,2005,2006,109,2,"[25, 109]","[0.4438, 0.7258]","codes, ldpc, decoding, turbo, bounds, stopping, check, parity, pseudocodeword, biting"
cs,2007,2008,25,3,"[25, 109, 243]","[0.4568, 0.3686, 0.309]","codes, trapping, kloosterman, decoding, sl, hamming, solomon, weight, sums, reed"
cs,2008,2009,103,2,"[103, 209]","[0.3198, 0.2049]","routing, hoc, ad, sensor, olsr, energy, mobile, multipath, networks, protocol"
cs,2011,2012,56,2,"[56, 201]","[0.3821, 0.2703]","recovery, dbf, ell, omp, sparse, fbf, isometry, signal, sensing, compressed"
cs,2011,2012,150,2,"[150, 245]","[0.3633, 0.2703]","scheduling, jobs, makespan, energy, speed, sleep, processor, job, lrrtq, profit"
cs,2012,2013,170,2,"[170, 237]","[0.4544, 0.4543]","vehicular, vanet, aomdv, hoc, mobility, ad, vanets, 11p, transmission, routing"
cs,2012,2013,41,2,"[41, 231]","[0.3807, 0.2503]","privacy, frequent, differentially, private, mining, differential, laplacian, patterns, mechanism, staircase"
cs,2012,2013,66,2,"[66, 252]","[0.5364, 0.2703]","consensus, distributed, bf, dpf, convergence, leaders, delays, definitive, optimization, algorithm"
cs,2013,2014,0,2,"[0, 7]","[0.654, 0.2053]","graphs, graph, log, vertices, vertex, coloring, problem, gg, algorithm, kk"
cs,2013,2014,33,2,"[33, 169]","[0.2703, 0.2703]","causal, causation, mediation, entropy, bexsam, skew, binary, transfer, probability, causality"
cs,2013,2014,64,2,"[64, 199]","[0.3607, 0.2183]","bandit, regret, armed, ucb, arms, posterior, algorithms, bandits, sampling, linear"
cs,2013,2014,101,2,"[95, 101]","[0.2049, 0.4429]","cloud, service, socloud, resources, provisioning, computing, workloads, virtualization, infrastructure, clouds"
cs,2014,2015,201,2,"[164, 201]","[0.2506, 0.3886]","wsnm, rank, matrix, nnm, amp, nl, schatten, norm, pca, minimization"
cs,2014,2015,42,2,"[42, 197]","[0.2956, 0.2503]","mobile, agents, agent, languages, migration, ease, support, writing, interact, language"
cs,2014,2015,58,2,"[58, 139]","[0.3198, 0.2703]","market, acpm, stock, news, glidepaths, turnover, retirement, portfolio, glidepath, newswires"
cs,2014,2015,150,2,"[150, 245]","[0.3891, 0.2703]","scheduling, schedulability, k2u, psbs, job, priority, reservation, telescope, uniprocessor, robin"
cs,2015,2016,153,2,"[153, 247]","[0.5251, 0.223]","clustering, means, clusters, ward, cluster, ldps, clusterings, kk, homogeneity, index"
cs,2015,2016,209,2,"[123, 209]","[0.2372, 0.4406]","video, streaming, conferencing, multimedia, throughput, http, bsc, qoe, shifted, vr"
cs,2015,2016,220,2,"[220, 243]","[0.3378, 0.2686]","codes, repair, msr, mds, nodes, storage, helper, bandwidth, regenerating, surviving"
cs,2015,2016,116,2,"[91, 116]","[0.309, 0.2956]","depth, super, resolution, hr, sr, deep, image, atgv, convolutional, upsampling"
cs,2015,2016,217,2,"[103, 217]","[0.3372, 0.6132]","energy, harvesting, power, eh, swipt, wireless, csi, transmission, secondary, harvested"
cs,2015,2016,31,2,"[31, 174]","[0.6058, 0.2198]","face, facial, recognition, faces, landmark, gender, wild, 3d, deconvolutional, pose"
cs,2015,2016,95,2,"[42, 95]","[0.2703, 0.3914]","mobile, 5g, icn, meco, greenlinks, computation, femtocell, allocation, services, cellular"
cs,2016,2017,160,2,"[134, 160]","[0.2703, 0.2703]","software, agile, startups, companies, development, ucp, effort, scrum, testers, lessons"
cs,2016,2017,217,2,"[139, 217]","[0.2703, 0.694]","energy, harvesting, eh, wireless, wds, throughput, wpcn, power, powered, harvested"
cs,2016,2017,43,2,"[43, 169]","[0.309, 0.2703]","video, nfovs, nfov, visual, sentence, narrated, audio, vgm, subtitles, grounding"
cs,2016,2017,56,2,"[56, 256]","[0.5927, 0.2548]","ell, recovery, signal, compressive, boldsymbol, sparse, measurements, minimization, sensing, signals"
cs,2016,2017,25,2,"[25, 243]","[0.6629, 0.3372]","codes, mathbb, lcd, cyclic, linear, code, construction, repairable, decoding, gqc"
cs,2016,2017,31,2,"[31, 184]","[0.7255, 0.2138]","face, facial, faces, landmark, images, 3d, recognition, gabor, image, alignment"
cs,2016,2017,216,2,"[124, 216]","[0.2236, 0.5876]","gaze, eye, corneal, vfoa, tracking, device, facing, signatures, mobile, front"
cs,2017,2018,67,2,"[67, 257]","[0.7474, 0.2198]","games, equilibrium, nash, players, game, equilibria, textsf, player, parity, payoff"
cs,2017,2018,68,2,"[68, 169]","[0.4957, 0.209]","object, detection, detector, ssd, detectors, domain, pascal, voc, lstd, rcnn"
cs,2017,2018,197,2,"[98, 197]","[0.2274, 0.2198]","beliefs, social, agents, belief, naming, sirm, influential, opinions, camps, camp"
cs,2017,2018,74,2,"[74, 79]","[0.5878, 0.2703]","uav, uavs, aerial, unmanned, ground, trajectory, bss, users, vehicles, communication"
cs,2017,2018,170,2,"[145, 170]","[0.2053, 0.5426]","vehicular, v2x, vehicle, cvim, vehicles, v2v, automat, communications, lte, gnss"
cs,2017,2018,109,2,"[109, 243]","[0.5821, 0.3526]","codes, ldpc, cbs, decoding, sc, bch, parity, threshold, erasure, check"
cs,2017,2018,53,2,"[53, 156]","[0.3058, 0.2703]","segmentation, pancreas, ct, fcn, 3d, organ, organs, recist, convolutional, fully"
cs,2017,2018,56,2,"[56, 256]","[0.5985, 0.3024]","recovery, sensing, sparse, signal, compressive, measurements, mathbf, signals, boldsymbol, isometry"
cs,2018,2019,64,2,"[64, 199]","[0.7882, 0.3343]","bandit, regret, bandits, armed, arms, arm, reward, sqrt, thompson, mathcal"
cs,2018,2019,153,2,"[80, 153]","[0.2703, 0.3769]","clustering, clusters, cluster, density, gopc, dbscan, grinch, linkage, algorithm, daoc"
cs,2018,2019,67,2,"[67, 257]","[0.6779, 0.3686]","games, game, equilibria, nash, players, golden, tolled, efce, player, equilibrium"
cs,2018,2019,41,3,"[41, 226, 227]","[0.6191, 0.2703, 0.4196]","privacy, differential, private, differentially, data, local, cpss, dp, preserving, 2s"
cs,2018,2019,170,2,"[170, 237]","[0.5921, 0.3036]","vehicular, vehicle, vehicles, v2v, v2i, vanet, communications, itss, vrls, communication"
cs,2018,2019,177,2,"[177, 212]","[0.6257, 0.2198]","embeddings, word, sentence, embedding, elmo, nlp, representations, words, paraphrase, downstream"
cs,2018,2019,25,2,"[25, 243]","[0.5543, 0.4406]","codes, mathbb, cyclic, reed, solomon, ring, mathcal, linear, skew, length"
cs,2018,2019,190,2,"[190, 221]","[0.309, 0.2703]","defect, pcb, photoluminescence, corrosion, surface, inspection, defective, defects, thermoelectric, texture"
cs,2019,2020,34,2,"[34, 258]","[0.7874, 0.2703]","emotion, facial, expression, recognition, emotions, emotional, wild, expressions, affective, fer"
cs,2019,2020,8,2,"[8, 18]","[0.8931, 0.4477]","adversarial, attacks, attack, robustness, perturbations, examples, defense, box, robust, training"
cs,2019,2020,41,2,"[41, 227]","[0.7181, 0.4692]","privacy, private, differential, differentially, dp, ch, utility, data, sensitive, shuffle"
cs,2019,2020,170,3,"[145, 170, 237]","[0.2686, 0.5005, 0.2461]","v2x, vehicle, vehicular, vehicles, dsrc, communications, fog, v2v, delay, broadcast"
cs,2019,2020,236,2,"[124, 236]","[0.2372, 0.4343]","skin, lesion, melanoma, lesions, cancer, isic, segmentation, dermoscopic, dermatoscopic, diagnosis"
cs,2019,2020,241,2,"[155, 241]","[0.4886, 0.5012]","iot, smart, things, internet, mud, siot, system, cities, sensor, nodemcu"
cs,2019,2020,53,2,"[53, 249]","[0.6156, 0.3198]","segmentation, organ, medical, liver, organs, net, ct, image, abdominal, 3d"
cs,2019,2020,88,2,"[88, 163]","[0.2956, 0.3372]","attention, transformer, transformers, position, sequence, self, nlp, tensorcoder, drophead, head"
cs,2019,2020,25,2,"[25, 55]","[0.3198, 0.2372]","codes, gf, mathrm, linear, pgl, lcd, family, binary, construction, minimum"
cs,2020,2021,192,2,"[191, 192]","[0.2703, 0.7245]","quantization, bit, bnns, precision, binary, activations, quantized, neural, admm, brecq"
cs,2020,2021,97,2,"[97, 258]","[0.8128, 0.2198]","sentiment, aspect, opinion, analysis, polarity, reviews, words, absa, tweets, opinions"
cs,2020,2021,161,2,"[161, 195]","[0.716, 0.2703]","bayesian, bo, optimization, black, nes, box, optimisation, acquisition, functions, fbbo"
cs,2020,2021,67,2,"[67, 257]","[0.8003, 0.5978]","games, game, player, equilibria, nash, players, mathbf, payoff, equilibrium, strategies"
cs,2020,2021,198,2,"[142, 198]","[0.2703, 0.4977]","registration, point, correspondences, inlier, descriptor, outlier, cloud, calibration, camera, cofinet"
